,primary_sector,count,sum,category_list,main_sector,value
403,Portals,1,10000000.0,Portals,Others,1
404,Presentations,1,14000000.0,Presentations,Others,1
405,Price Comparison,1,6250000.0,Price Comparison,"Social, Finance, Analytics, Advertising",1
406,Printing,3,32850216.0,Printing,Others,1
407,Privacy,6,85117000.0,Privacy,Others,1
408,Private School,1,75000000.0,Private School,Others,1
409,Procurement,1,1000000.0,Procurement,Others,1
410,Product Design,4,69800000.0,Product Design,Others,1
411,Product Development Services,1,34999988.0,Product Development Services,Others,1
412,Productivity Software,2,3500000.0,Productivity Software,Others,1
413,Public Relations,87,1487613849.0,Public Relations,"Social, Finance, Analytics, Advertising",1
414,Public Safety,3,138399999.0,Public Safety,Health,1
415,Public Transportation,56,846719227.0,Public Transportation,Health,1
416,Publishing,16,109824203.0,Publishing,"News, Search and Messaging",1
417,QR Codes,3,2256071.0,QR Codes,Others,1
418,RFID,4,43604000.0,RFID,Others,1
419,Real Estate,82,767709758.0,Real Estate,Others,1
420,Real Time,9,50099800.0,Real Time,Others,1
421,Recreation,2,1636000.0,Recreation,Others,1
422,Recruiting,8,91430270.0,Recruiting,"News, Search and Messaging",1
423,Recycling,2,30075000.0,Recycling,Cleantech / Semiconductors,1
424,Religion,2,32500000.0,Religion,Others,1
425,Renewable Energies,10,158594835.0,Renewable Energies,Cleantech / Semiconductors,1
426,Reputation,1,780000.0,Reputation,Others,1
427,Restaurants,14,57508734.0,Restaurants,Entertainment,1
428,Retail,8,67235999.0,Retail,"Social, Finance, Analytics, Advertising",1
429,Retail Technology,1,1123503.0,Retail Technology,"Social, Finance, Analytics, Advertising",1
430,Reviews and Recommendations,7,42445730.0,Reviews and Recommendations,Entertainment,1
431,Robotics,3,7816130.0,Robotics,Others,1
432,SEO,7,51750000.0,SEO,"News, Search and Messaging",1
433,SaaS,76,561700246.0,SaaS,Others,1
434,Sales Automation,3,34170000.0,Sales Automation,Others,1
435,Sales and Marketing,9,55005983.0,Sales and Marketing,"Social, Finance, Analytics, Advertising",1
436,Search,91,790322667.0,Search,"News, Search and Messaging",1
437,Search Marketing,3,51900000.0,Search Marketing,"News, Search and Messaging",1
438,Security,464,4494926552.0,Security,Others,1
439,Semiconductor Manufacturing Equipment,1,12500000.0,Semiconductor Manufacturing Equipment,Cleantech / Semiconductors,1
440,Semiconductors,673,26224983666.0,Semiconductors,Cleantech / Semiconductors,1
441,Senior Citizens,2,32000000.0,Senior Citizens,Health,1
442,Senior Health,0,0.0,Senior Health,Health,1
443,Sensors,5,87259989.0,Sensors,Others,1
444,Service Industries,1,10500000.0,Service Industries,Others,1
445,Service Providers,16,305875166.0,Service Providers,Others,1
446,Services,70,1198314921.0,Services,Others,1
447,SexTech,2,2400000.0,SexTech,Health,1
448,Shipping,0,0.0,Shipping,Others,1
449,Soccer,1,1250000.0,Soccer,Automotive & Sports,1
450,Social + Mobile + Local,1,5000000.0,Social + Mobile + Local,"Social, Finance, Analytics, Advertising",1
451,Social Buying,3,8699999.0,Social Buying,"Social, Finance, Analytics, Advertising",1
452,Social CRM,6,155950012.0,Social CRM,"Social, Finance, Analytics, Advertising",1
453,Social Commerce,3,108380517.0,Social Commerce,"Social, Finance, Analytics, Advertising",1
454,Social Fundraising,1,21000000.0,Social Fundraising,"Social, Finance, Analytics, Advertising",1
455,Social Media,148,736664946.0,Social Media,"Social, Finance, Analytics, Advertising",1
456,Social Media Marketing,1,2275000.0,Social Media Marketing,"Social, Finance, Analytics, Advertising",1
457,Social Network Media,12,33342716.0,Social Network Media,"Social, Finance, Analytics, Advertising",1
458,Software,3090,22163899426.0,Software,Others,1
459,Solar,1,2041033.0,Solar,Cleantech / Semiconductors,1
460,Space Travel,1,16500000.0,Space Travel,Cleantech / Semiconductors,1
461,Specialty Chemicals,1,3000000.0,Specialty Chemicals,Health,1
462,Specialty Foods,6,26010000.0,Specialty Foods,Health,1
463,Sporting Goods,2,3300000.0,Sporting Goods,Automotive & Sports,1
464,Sports,56,188316896.0,Sports,Automotive & Sports,1
465,Staffing Firms,1,1500000.0,Staffing Firms,Others,1
466,Startups,9,61320000.0,Startups,Others,1
467,Storage,18,598230481.0,Storage,Manufacturing,1
468,Synchronization,1,8000000.0,Synchronization,Others,1
469,Systems,2,46000000.0,Systems,Others,1
470,Tea,0,0.0,Tea,Others,1
471,Technology,122,1521709525.0,Technology,Others,1
472,Telecommunications,44,1115990889.0,Telecommunications,Others,1
473,Television,2,17000000.0,Television,Entertainment,1
474,Theatre,1,75000000.0,Theatre,Entertainment,1
475,Therapeutics,11,54978691.0,Therapeutics,Health,1
476,Ticketing,1,10000000.0,Ticketing,Entertainment,1
477,Tracking,8,23506563.0,Tracking,Others,1
478,Trading,2,8500000.0,Trading,Others,1
479,Training,2,4399998.0,Training,Others,1
480,Translation,1,4500000.0,Translation,Others,1
481,Transportation,7,46908838.0,Transportation,Automotive & Sports,1
482,Travel,52,224461848.0,Travel,Entertainment,1
483,Travel & Tourism,2,6080000.0,Travel & Tourism,Entertainment,1
484,User Interface,1,8250000.0,User Interface,Others,1
485,Utilities,1,6000000.0,Utilities,Others,1
486,Venture Capital,4,39500000.0,Venture Capital,"Social, Finance, Analytics, Advertising",1
487,Video,6,44550000.0,Video,Entertainment,1
488,Video Conferencing,1,9000000.0,Video Conferencing,Entertainment,1
489,Video Games,2,2000000.0,Video Games,Entertainment,1
490,Video Streaming,0,0.0,Video Streaming,Entertainment,1
491,Video on Demand,4,6389987.0,Video on Demand,Entertainment,1
492,Virtual Workforces,0,0.0,Virtual Workforces,Entertainment,1
493,VoIP,4,43230000.0,VoIP,Entertainment,1
494,Water,1,200004.0,Water,Cleantech / Semiconductors,1
495,Wearables,2,16000000.0,Wearables,Cleantech / Semiconductors,1
496,Web Browsers,2,28000000.0,Web Browsers,"News, Search and Messaging",1
497,Web Design,1,20000000.0,Web Design,"News, Search and Messaging",1
498,Web Development,4,55500000.0,Web Development,Others,1
499,Web Hosting,384,4907519614.0,Web Hosting,Others,1
500,Web Tools,1,10800000.0,Web Tools,Others,1
501,Wine And Spirits,3,12170000.0,Wine And Spirits,Entertainment,1
502,Wireless,7,102883929.0,Wireless,Entertainment,1
503,Young Adults,1,100000000.0,Young Adults,Others,1
504,iOS,1,1500000.0,iOS,Others,1
505,iPad,9,15294179.0,iPad,Others,1
506,iPhone,10,78450000.0,iPhone,Others,1
